	Group	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly	Kingdom	Phylum	Class	Order	Family	Genus
seq649	Bin 76	0.0	0.0	0.0	0.0	0.0	0.0	0.048557028852746285	0.19289778585337564	0.16144438892441756	0.12583502370775526	0.18937241252571049	0.07510153795891425	0.059083377764880096	0.14770844441220024	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq669	Bin 76	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
Bin 38	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12186051144703017	0.23189172825436416	0.15913657423860667	0.13344626450578728	0.17384226426725682	0.17982265728695501	0.0	0.0	0.0	Bacteria					
seq1104	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35702909094039764	0.17359000628481402	0.0	0.23469045138739425	0.23469045138739425	0.0	0.0	0.0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	
seq186	Bin 38	0.0	0.0070802660027932595	0.0	0.042153552804274928	0.0048138316474017661	0.048266004316123816	0.016732214829589587	0.12463207963821012	0.19992732010753644	0.10066029240566927	0.075294966733153154	0.11322132034688955	0.16542076024707889	0.10179739092127932	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq465	Bin 38	0.0	0.0	0.0	0.0	0.091214144968950001	0.030485364101028381	0.0	0.15743811323407808	0.10980556305179331	0.097812615030533623	0.11889291999401069	0.15323976354783603	0.08037050535725665	0.1607410107145133	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq669	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq848	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084272860040152692	0.11755258820887542	0.31414053359648408	0.19092161740131144	0.16405116754483057	0.12906123320834573	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq912	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24412371034777011	0.10873027666553166	0.17621803459586166	0.11356273340622196	0.17868262249230726	0.17868262249230726	0.0	0.0	0.0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
seq969	Bin 38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080975915546098065	0.21639521260829611	0.14028379300124025	0.13560766656786558	0.14224580409216667	0.28449160818433333	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bin 36	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0103802553090485	0.083630397024317835	0.18460540335444961	0.19346161631879213	0.19537379056557885	0.18066097812629461	0.15188755930151854	0.0	0.0	0.0	Bacteria					
seq1186	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31140612649815302	0.26757859758359814	0.21050763795912442	0.21050763795912442	0.0	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
seq186	Bin 36	0.0	0.0070802660027932595	0.0	0.042153552804274928	0.0048138316474017661	0.048266004316123816	0.016732214829589587	0.12463207963821012	0.19992732010753644	0.10066029240566927	0.075294966733153154	0.11322132034688955	0.16542076024707889	0.10179739092127932	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq465	Bin 36	0.0	0.0	0.0	0.0	0.091214144968950001	0.030485364101028381	0.0	0.15743811323407808	0.10980556305179331	0.097812615030533623	0.11889291999401069	0.15323976354783603	0.08037050535725665	0.1607410107145133	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq649	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.048557028852746285	0.19289778585337564	0.16144438892441756	0.12583502370775526	0.18937241252571049	0.07510153795891425	0.059083377764880096	0.14770844441220024	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq669	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq848	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084272860040152692	0.11755258820887542	0.31414053359648408	0.19092161740131144	0.16405116754483057	0.12906123320834573	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq912	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24412371034777011	0.10873027666553166	0.17621803459586166	0.11356273340622196	0.17868262249230726	0.17868262249230726	0.0	0.0	0.0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
seq958	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22889164054770161	0.076459548012742878	0.12391719850341086	0.3194310005865702	0.12565030617478723	0.12565030617478723	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
seq969	Bin 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080975915546098065	0.21639521260829611	0.14028379300124025	0.13560766656786558	0.14224580409216667	0.28449160818433333	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bin 15	Bin 15	0.010539540808955432	0.0	0.0	0.014000577401135602	0.0	0.0	0.0	0.07110217857297825	0.18331120370555679	0.16278637452845809	0.14819040158573593	0.14497839288141456	0.14320557594214367	0.12137908670607686	0.0	0.0	0.0005066678675447893	Bacteria	Proteobacteria	Betaproteobacteria			
seq186	Bin 15	0.0	0.0070802660027932595	0.0	0.042153552804274928	0.0048138316474017661	0.048266004316123816	0.016732214829589587	0.12463207963821012	0.19992732010753644	0.10066029240566927	0.075294966733153154	0.11322132034688955	0.16542076024707889	0.10179739092127932	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq465	Bin 15	0.0	0.0	0.0	0.0	0.091214144968950001	0.030485364101028381	0.0	0.15743811323407808	0.10980556305179331	0.097812615030533623	0.11889291999401069	0.15323976354783603	0.08037050535725665	0.1607410107145133	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq541	Bin 15	0.0	0.0	0.0	0.0	0.0	0.046690800177725963	0.16186144061611668	0.080376400305948351	0.11211739915288338	0.074903964540436976	0.12139608046208751	0.15646605926224613	0.0	0.24618785548255509	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq649	Bin 15	0.0	0.0	0.0	0.0	0.0	0.0	0.048557028852746285	0.19289778585337564	0.16144438892441756	0.12583502370775526	0.18937241252571049	0.07510153795891425	0.059083377764880096	0.14770844441220024	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq669	Bin 15	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
Bin 82	Bin 82	0.089053822057395871	0.45061863316675238	0.41453185728371761	0.01314420461618129	0.01057421834048017	0.003514249150854026	0.0034934547771803331	0.0044502049548503248	0.0	0.0013645466656628886	0.0026755008640943038	0.0034900129498136542	0.0014613709340185062	0.0016279242389985566	0.0	0.0	0.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales		
seq16	Bin 82	0.13462619064561779	0.27250017266089643	0.26948550023607648	0.10014663860124463	0.034309496557833809	0.041280603816003757	0.0059627538845338762	0.0059219131045028222	0.0041302514964526053	0.0	0.01788826165360163	0.023055981686864322	0.036276894262548758	0.05441534139382314	0.0	0.0	0.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales		
seq51	Bin 82	0.096778497223259957	0.28295471911890091	0.26637129235735357	0.064793017059896818	0.014798405130964087	0.074188290974859752	0.090015126382829824	0.012771226345900513	0.0	0.047606784165995113	0.0	0.049722641240039334	0.0	0.0	0.0	0.0	0.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales		
seq68	Bin 82	0.17387700589577396	0.39105412220917252	0.43506887189505339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus
Bin 19	Bin 19	0.0	0.0	0.0	0.0	0.030410452207247394	0.22908402820142063	0.4889464883157365	0.21757226799029394	0.013748315100442481	0.0078486143986347331	0.0	0.0033456490934081723	0.0028018430939020585	0.006242341598914145	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq539	Bin 19	0.0	0.0	0.0	0.0	0.0	0.057757247852830963	0.65073165914189557	0.19885372091796596	0.0	0.092657372087307552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq630	Bin 19	0.0	0.0	0.0	0.0	0.0	0.5357142857142857	0.46428571428571436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq7	Bin 19	0.040003039372801447	0.067475943844783753	0.050047092548656351	0.0	0.07646083583822498	0.21465821923389208	0.35878588071950535	0.11877614772677689	0.0	0.073792840715359256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera
seq90	Bin 19	0.035636451140106301	0.080147349256737124	0.17833652605178735	0.0	0.16347514888080505	0.21854502662049272	0.26043282338942048	0.047027097623245293	0.016399577037405605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
Bin 16	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10619647429830142	0.1535839919512878	0.20604041025489186	0.20674308690979679	0.17313880628171927	0.15429723030400277	0.0	0.0	0.0	Bacteria					
seq1186	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31140612649815302	0.26757859758359814	0.21050763795912442	0.21050763795912442	0.0	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
seq186	Bin 16	0.0	0.0070802660027932595	0.0	0.042153552804274928	0.0048138316474017661	0.048266004316123816	0.016732214829589587	0.12463207963821012	0.19992732010753644	0.10066029240566927	0.075294966733153154	0.11322132034688955	0.16542076024707889	0.10179739092127932	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq465	Bin 16	0.0	0.0	0.0	0.0	0.091214144968950001	0.030485364101028381	0.0	0.15743811323407808	0.10980556305179331	0.097812615030533623	0.11889291999401069	0.15323976354783603	0.08037050535725665	0.1607410107145133	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq649	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.048557028852746285	0.19289778585337564	0.16144438892441756	0.12583502370775526	0.18937241252571049	0.07510153795891425	0.059083377764880096	0.14770844441220024	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq669	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq848	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084272860040152692	0.11755258820887542	0.31414053359648408	0.19092161740131144	0.16405116754483057	0.12906123320834573	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq912	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24412371034777011	0.10873027666553166	0.17621803459586166	0.11356273340622196	0.17868262249230726	0.17868262249230726	0.0	0.0	0.0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
seq958	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22889164054770161	0.076459548012742878	0.12391719850341086	0.3194310005865702	0.12565030617478723	0.12565030617478723	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
seq964	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19540426426627044	0.0	0.31736347748073573	0.27269750657603958	0.0	0.21453475167695424	0.0	0.0	0.0	Bacteria					
seq969	Bin 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080975915546098065	0.21639521260829611	0.14028379300124025	0.13560766656786558	0.14224580409216667	0.28449160818433333	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bin 25	Bin 25	0.013932709326238444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015371062985495731	0.12055371453277013	0.16216850047308473	0.23869536010727321	0.44927865257513772	0.0	0.0	0.0	Bacteria	Proteobacteria				
seq1140	Bin 25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095486721837454866	0.077377171144144455	0.19946115228268349	0.1569187386839293	0.47075621605178797	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Gallionella
seq1233	Bin 25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08554564428432794	0.22051766082182311	0.34696834744692451	0.34696834744692451	0.0	0.0	0.0	Bacteria	Proteobacteria	Deltaproteobacteria			
Bin 24	Bin 24	0.24297655504549087	0.34152181667171477	0.39757014885457637	0.017931479428218041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		
seq113	Bin 24	0.11312428405235707	0.12720979801996574	0.42458335183287266	0.0	0.086489201299288859	0.17343723125268537	0.075156133542830322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
seq114	Bin 24	0.14331130939805117	0.40288879782136949	0.35858847113451764	0.0	0.0	0.0	0.09521142164606157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	
seq223	Bin 24	0.0	0.47336065573770497	0.52663934426229508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	
seq81	Bin 24	0.15711228516473508	0.10600494259752942	0.35380870451383195	0.0	0.0	0.048175544204359079	0.062628207465666802	0.062199247140559494	0.028920669052616838	0.077285873042737763	0.0	0.040360400366763048	0.063504126451200599	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
Bin 64	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051248133344301387	0.052661602661501716	0.16826728495041321	0.15963162402102793	0.26528097275204471	0.34903370228058223	0.0	0.0	0.0	Bacteria					
seq1103	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042229915600702529	0.18821436522037246	0.11026700184627883	0.20819643705241458	0.45109228028023157	0.0	0.0	0.0	Bacteria					
seq1140	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095486721837454866	0.077377171144144455	0.19946115228268349	0.1569187386839293	0.47075621605178797	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Gallionella
seq1175	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10974673829623943	0.0	0.33384497313891021	0.55640828856485036	0.0	0.0	0.0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	
seq1186	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31140612649815302	0.26757859758359814	0.21050763795912442	0.21050763795912442	0.0	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
seq1233	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08554564428432794	0.22051766082182311	0.34696834744692451	0.34696834744692451	0.0	0.0	0.0	Bacteria	Proteobacteria	Deltaproteobacteria			
seq843	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028621956926266717	0.019962447665135066	0.10669291177621125	0.0	0.055717409483132543	0.350669010733002	0.43833626341625254	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq969	Bin 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080975915546098065	0.21639521260829611	0.14028379300124025	0.13560766656786558	0.14224580409216667	0.28449160818433333	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bin 23	Bin 23	0.17352868754956247	0.0068599017383771405	0.0082610731572797073	0.01080529976972577	0.02897540585016015	0.33126247719964846	0.31015685907064922	0.099994271193957207	0.0039298627367626111	0.0029912976763647628	0.0058651123624191255	0.00382532451617878	0.0064071029437647881	0.0071373242351497465	0.0	0.0	0.0	Bacteria					
seq111	Bin 23	0.17405116935370657	0.0	0.0	0.0	0.19960630136198887	0.20013576104729919	0.23126799054354572	0.11484198160552783	0.08009679608793184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq17	Bin 23	0.31544834993011173	0.070945193097122397	0.078930366346149167	0.0	0.096470447756404523	0.14508950630737763	0.25148847759945459	0.041627658963380033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales		
seq197	Bin 23	0.0	0.088830401481395607	0.0	0.0	0.18118581889459262	0.36333283576740588	0.26240704805423759	0.10424389580236836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast	Chloroplast	Cryptomonadaceae
seq21	Bin 23	0.21834086560597271	0.035075325269664323	0.0	0.0	0.0	0.23910765502131912	0.29011728809253384	0.16464581907404074	0.014354074194751165	0.038358972741718005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Verrucomicrobia	Opitutae			
seq412	Bin 23	0.0	0.0	0.0	0.0	0.21095888520865544	0.42303691569693241	0.27497399520300608	0.09103020389140612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria					
seq482	Bin 23	0.0	0.0	0.0	0.0	0.15443501956180655	0.30968932304701791	0.40259611996112332	0.13327953743005225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	
seq492	Bin 23	0.0	0.0	0.0	0.0	0.17818319311844219	0.35731165516589469	0.46450515171566314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Isosphaera
seq518	Bin 23	0.0	0.0	0.0	0.0	0.080562632753613181	0.24232898021909111	0.42003689904642461	0.20857996699223139	0.048491520988639784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola
seq627	Bin 23	0.0	0.0	0.0	0.0	0.0	0.31608573284260666	0.5478819369271849	0.13603233023020855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	
seq65	Bin 23	0.4113624790863461	0.0	0.0	0.0	0.0	0.31534152906088597	0.27329599185276787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Verrucomicrobia	Spartobacteria			
seq7	Bin 23	0.040003039372801447	0.067475943844783753	0.050047092548656351	0.0	0.07646083583822498	0.21465821923389208	0.35878588071950535	0.11877614772677689	0.0	0.073792840715359256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera
seq90	Bin 23	0.035636451140106301	0.080147349256737124	0.17833652605178735	0.0	0.16347514888080505	0.21854502662049272	0.26043282338942048	0.047027097623245293	0.016399577037405605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
Bin 39	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075336920237749044	0.2007049847320003	0.22487274077007882	0.19249882033162782	0.16120982065726261	0.14537671327128146	0.0	0.0	0.0	Bacteria					
seq1104	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35702909094039764	0.17359000628481402	0.0	0.23469045138739425	0.23469045138739425	0.0	0.0	0.0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	
seq1186	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31140612649815302	0.26757859758359814	0.21050763795912442	0.21050763795912442	0.0	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
seq186	Bin 39	0.0	0.0070802660027932595	0.0	0.042153552804274928	0.0048138316474017661	0.048266004316123816	0.016732214829589587	0.12463207963821012	0.19992732010753644	0.10066029240566927	0.075294966733153154	0.11322132034688955	0.16542076024707889	0.10179739092127932	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq465	Bin 39	0.0	0.0	0.0	0.0	0.091214144968950001	0.030485364101028381	0.0	0.15743811323407808	0.10980556305179331	0.097812615030533623	0.11889291999401069	0.15323976354783603	0.08037050535725665	0.1607410107145133	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq649	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.048557028852746285	0.19289778585337564	0.16144438892441756	0.12583502370775526	0.18937241252571049	0.07510153795891425	0.059083377764880096	0.14770844441220024	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq669	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.010326185784324784	0.015383187726648222	0.14305384764908538	0.210258719055294	0.14714814742662818	0.15971167346422332	0.20417685528096732	0.10994138361282857	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq826	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064111321716894556	0.13414375276433033	0.35847777334467845	0.19366040628965389	0.24960674588444279	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq846	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043749283434172677	0.12205214104565372	0.24462365290426766	0.066076503945405637	0.25549581525556847	0.26800260341493193	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq848	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084272860040152692	0.11755258820887542	0.31414053359648408	0.19092161740131144	0.16405116754483057	0.12906123320834573	0.0	0.0	0.0	0.0	Bacteria	Bacteroidetes				
seq912	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24412371034777011	0.10873027666553166	0.17621803459586166	0.11356273340622196	0.17868262249230726	0.17868262249230726	0.0	0.0	0.0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
seq958	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22889164054770161	0.076459548012742878	0.12391719850341086	0.3194310005865702	0.12565030617478723	0.12565030617478723	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
seq969	Bin 39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080975915546098065	0.21639521260829611	0.14028379300124025	0.13560766656786558	0.14224580409216667	0.28449160818433333	0.0	0.0	0.0	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bin 14	Bin 14	0.023778866497614612	0.0	0.0	0.0	0.0	0.0	0.0	0.19250127601837763	0.18955703697896018	0.13116847775263535	0.14145192789668637	0.12580543161792168	0.10535685898695586	0.086067257598902935	0.001686154933212604	0.0014835890913464682	0.0011431226273863344	Bacteria	Proteobacteria	Gammaproteobacteria			
seq569	Bin 14	0.0	0.0	0.0	0.0	0.0	0.01108714643893542	0.096088602470773637	0.25766224566649232	0.13977219483606962	0.053359840946536001	0.11530632296492838	0.09288564905508119	0.14614874851323964	0.08768924910794379	0.0	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
